网站搁哪最放心?	1	中国计算机用户	2000	2000年29期	互联网的高速发展使得网站对带宽的要求越来越高;电子商务的开展使得网站系统的稳定性对于企业越来越重要;网站系统自身的快速发展也要求能够方便地扩展网络环境;网站维护所需要的人力成本也越来越高……IDC能帮你解决这些问题。	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=YHJS200029025&dbname=CJFD9902
语音技术 声音要大——语音技术在电信领域的应用现状及前景	1	中国计算机用户	2000	2000年31期	作为智能计算机研究的主导方向和人机语音通信的关键技术,语音技术一直受到各国科学界的广泛关注。如今,随着语音合成技术研究的突破,其对计算机发展和社会生活的重要性日益凸现出来。以语音合成技术开发出的计算机应用软件产品,几乎深入到社会的每个行业、每个方面,其应用和经济社会效益前景非常良好。看来:	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=YHJS200031027&dbname=CJFD9902
网络经济新动力	1	中国计算机用户	2000	2000年32期	<正> 异军突起 如果在两年前说起Linux,知道的人肯定是计算机高手和计算机黑客类的人物。但现在,Llnux已经成为中国软件产业的一个组成部分,它使中国的软件厂商走出了过去只停留在应用领域的层次,使国内软件迈出中国走向世界成为可能。	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=YHJS200032005&dbname=CJFD9902
强龙压倒地头蛇——CN域名注册管理危情报告	1	中国计算机用户	2000	2000年36期	在1994年5月我国正式运行自己的域名系统后的很长一段时间内,国内单位绝大部分在国内CN下注册域名。CNNIC成立初期(1997年6月),仍然是国内为主。到1999年初,国内国外几乎各占50%。1999年中,国内比例下降到了33%左右。最近的统计数据表明,CN域名比例已经下降到10%,而且下降的趋势愈来愈明显。照此发展下去,我国企业在国内注册CN域名的比例将很快降到10%以下,情况十分严重。到底出了什么问题致使	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=YHJS200036004&dbname=CJFD9902
互联网需要全文检索	1	中国计算机用户	2000	2000年36期	信息的迅速增长必然需要强大的信息检索工具,而在信息检索工具中,全文检索是最具通用性和实用性的。互联网迅速发展所代表的信息爆炸对全文检索技术又提出了新的要求。	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=YHJS200036008&dbname=CJFD9902
未来的网络	1	中国计算机用户	2000	2000年40期	未来20年计算机技术将围绕“个人电脑+网络+无数新颖而令人惊奇的设备”这个主题发展。人们的生活将通过网络走向无限广阔的交互空间。于是通过统一的标准、技术、平台来整合网络,从而让网络发挥最大的效能成为迫切的需求。	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=YHJS200040010&dbname=CJFD9902
迈向.NET的第一步——写在微软Enterprise2000发布之际	1	中国计算机用户	2000	2000年42期	不久以前,微软首席执行官史蒂夫·鲍尔默来京布道,将微软的.NET浓抹重彩地宣传了一把。梦想虽然美好,但总让人感觉似乎有点虚。如今,随着.NET企业服务器的推出,人们已经真切地体会到:.NET来了。	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=YHJS200042005&dbname=CJFD9902
洞察未来	1	中国计算机用户	2000	2000年42期	开放系统、网络就是计算机、Java、dot-com the world……这些风靡全球的思想和概念源源不断地被SUN公司创造出来,引导着IT产业的发展方向,以至于财富杂志称“SUN已成为整个业界的思想领袖”。最近,SUN又提出了未来三个业务重点,透过SUN的目光,让我们	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=YHJS200042030&dbname=CJFD9902
信息系统的基础	1	中国计算机用户	2000	2000年48期	对企业来说,互联网好比电力,他们需要极度可靠、易于存取而扩展力强大的高效能系统,方能在新经济中突围而出。	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=YHJS200048005&dbname=CJFD9902
向未来播撒阳光——2000年中国教育及科研计算机与网络研讨大会(ERC)在京召开	1	中国计算机用户	2000	2000年Z1期	教育,是个人发展的基础,是企业成功的基础,更是国家腾飞的基础。	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=YHJS2000Z1008&dbname=CJFD9902
信息技术仍需探索的领域	1	中国计算机用户	2000	2000年Z1期	明天的信息技术研究领域,我们还需要探索什么?21世纪,传统的信息载体——纸张会消失吗?未来的个人计算技术将会有什么样的突破?计算及互联网技术的飞速发展将这些问题推到人类计算机基础研究领域的前沿。1998年“图灵奖”获得者吉姆·格雷(Jim Gray)博士、激光打印机的发明人盖瑞·斯塔克伟泽(Gary Starkweather)博士、负责微软研究院全球事务的副总裁里克·雷斯特(Rick Rahshid)博士,这三位在计算机基础研究领域德高望重的学者日前于北京向2200多人就这一系列问题进行了精彩的阐述。	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=YHJS2000Z1010&dbname=CJFD9902
21世纪,纸会慢慢消失吗?	1	中国计算机用户	2000	2000年Z1期	<正> 今天我和大家共同讨论一个非常有意思的题目,就是在二十一世纪中,从纸张向电脑显示转换的过程。 事实上,电子打印设备发展的二十五年历史里,里面有10％仍然是通过电子设备进行打印的。人们可能还感觉,这个技术虽然很成功,但是在运用上并不如大家所设想那么迅速。对于计算机的衡量和打印,那么,我们可以通过这些技术参数来确定打印设备是否已经取得了一些进展。而且,其中我们可以看到我们要做的一些措施,以便最终取代它。我在这个过程中做了一些准备工作,其中在研究工作中,我发现最重要的是每一秒钟所印出的字节数和耗费的资金。我们不希望今后的打印机工作效率更低,费用更高。打印机每一	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=YHJS2000Z1011&dbname=CJFD9902
中国Linux未来发展之我见	1	中国计算机用户	2000	2000年Z1期	<正> 作为Linux的COOL FUN,我认为其在中国的发展将任重道远,可能有以下几个方面的发展趋势。拓展低端和高端应用 Linux的优势不在于桌面应用系统,微软已经在这方面已独占鳌头,要想在短时间内动摇其根基实属不易。Linux可以发挥长处,向低端应用和高端应用发展。低端应用是指基于Linux内核的嵌入式、实时操作系统或简单的操作环境,主要应用在信息家电、各种嵌入式设备上,目前国外已有类似产品出现。高端应用指集群计算和高性能应用,集群计算最典型的应用是分布式集群WWW服务器、E—mail服务器等;高性能应用是指Linux在电信、银行等部门	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=YHJS2000Z1037&dbname=CJFD9902
应用动态	2	中国计算机用户	2000	2000年01期	<正> 1999年12月24日获悉,沈阳市制定的《沈阳经济开发区条例》,使沈阳高新技术经济技术开发区得到了迅速发展,1999年工业总产值达1064亿元,利税达123亿元,出口创汇达185亿元。 沈阳高新技术经济技术开发区将《条例》作为开发区的根本大法。他们认识到,不断优化和完善开发区的法制环境,依法治区是关系到开发区能否建成科技进步、经济繁荣的综合性、多功能、外向型、国际化、现代化新区的关键。依	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=YHJS200001001&dbname=CJFD9902
产业动态	2	中国计算机用户	2000	2000年01期	<正> 日前,由来自国家税务总局及山东、湖南、安徽、天津等地税务部门信息中心负责人及浪潮电子信息产业股份有限公司负责人参加的中国税务电子化服务器应用研讨会在京举行,就我国的税务电子化及国产服务器在税务系统中的应用进行了广泛的交流。 税务电子化是我国信息化建设的重点工程之一,随着税务电子化建设的深入开	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=YHJS200001002&dbname=CJFD9902
软件业仍需努力——世纪之交的中国计算机市场回顾与展望(四)	2	中国计算机用户	2000	2000年01期	随者计算机市场的发展,软件越来越成为计算机和网络市场的核心和灵魂。在美国,软件产业已经成为继汽车和电子产业之后的第三大产业。国际软件市场的竞争日趋激烈,发达国家控制着软件产业的龙头——系统软件和数据库软件市场。中国软件无论从产业规模、企业实力,还是从技术水平、创新能力上说,都处于初级阶段。	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=YHJS200001032&dbname=CJFD9902
齐抓共建　稳步推进　努力实现政府系统办公自动化──黄冈市政府系统办公自动化建设基本作法	2	信息化建设	2000	2000年01期	信息社会，以现代化办公方式逐步取代传统办公方式为主要内容的办公自动化建设成为各级政府面临的新课题。黄冈市是革命老区，以传统农业经济为主，信息产业不太发达，市政府领导充分认识到；加强政务信息化建设对带动全市传统经济模式向知识经济模式转轨，有极其深远而重大的意义，因此，结合实际提出了办公自动化建设“建设高标准、操作高水平、应用高效益”的发展目标。全市办公自动化工作从无到有、从小到大，系统建设由单机发展到大规模互联网络，服务功能从单一迈向多样化，应用范围由市级政府延伸到县、市、部门。基本形成了市、县两级政府网络互联，各级职能部门入网，全市统一运行《全市首脑机关办公决策服务系统》软件的系统格局，初步实	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=XXJS200001006&dbname=CJFD9902
因特网基础	2	信息化建设	2000	2000年01期	为提高政府机关广大公务员计算机水平和实际应用能力，本刊从今年第一期开始，开辟“公务员学电脑”专栏。重点从政府机关工作实际出发，以网络、Ｗｉｎｄｏｗｓ及应用程序、ｎｏｔｅｓ为主要内容，分阶段、分专题进行基础知识的普及和实际应用技术介绍。同时将针对广大机关工作人员在工作中遇到的实际问题进行解答和探讨。我们也希望大家能积极参与到这个栏目中来，把你们在运用计算机过程中遇到的问题、获得的心得、掌握的技巧告诉我们，共同把这个栏目办得主动活泼、具体实用。	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=XXJS200001017&dbname=CJFD9902
计算机审计要“四化”——访国家审计署计算机中心高级工程师思途	2	中国计算机用户	2000	2000年02期	俗话说:“牵一发而动全局。”随着银行、税务、会计等部门相继实现电算化,对之进行监督的审计部门的信息化建设任务也就日亟紧迫。与此同时,由于审计财务是审计工作的基本内容。而财务软件的标准不规范,又给审计工作带来相当的难度,对此审计部门有什么样的解决方法和思路呢?请看——	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=YHJS200002003&dbname=CJFD9902
行业、地方应用状况调查	2	中国计算机用户	2000	2000年02期	所谓一年之计在于春,一日之计在于晨。每到年底年初,国事、家事、天下事,就会事事都要“计较计较”。日前有新闻报道,据国家统计局统计,我国今年国内生产总值实现增长7.1％,达到预期目标。那么在这7.1％的增长中,信息化起到了怎样的作用,在各行各业、各省市地县,信息化建设的业绩如何?今后又将何去何从? 结合“行业应用”版几十期对行业和地方信息化的跟踪,通过我们本次大规模的调查,对我国信息化现状以及发展前景也许能够“管中窥豹,略见一斑”。	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=YHJS200002028&dbname=CJFD9902
行业、地方信息化建设一览表	2	中国计算机用户	2000	2000年02期	≤|。j撩业集率弩器0jj01999年l}。完成(在建)项目2【1{)0年预计实旋(完成)项目网站地址Pc品牌服务器品牌网络设备品牌软件品牌建设方式问题999年止完成(在建)项目2(1(】0年预计网站地址Pc品牌服务器描牌网络没备品牌软件吲醉建设方式问题国家经济信息系统项目煤炭子系统,包括网络系统、宏观经济系统、企业产品系统、经济法规系统、世界经济系统等煤炭信息公路建设项目矿务局网络信息系统煤炭信息公路建设煤炭工业局调度管理系统政府上网工程经贸委信息系统煤炭子系统http//www chinacoal g0V cTlHP、联想HPclSc0、3Com、Bay等微软等自主建设、台作开发资金不足国	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=YHJS200002029&dbname=CJFD9902
关于推进国家信息化的意见	2	信息化建设	2000	2000年02期	全球信息化一浪高过一浪，我国信息化建设也进入了新的发展阶段。根据国务院三定方案赋予信息产业部推进国民经济和社会服务信息化的职能，及国家信息化工作领导小组对于推进国家信息化的要求，为 了更好地指导、协调、推进各行业、各地区信息化建设，提出如下意见。 一、当前信息化的形势 进入二十世纪九十年代，信息化在全球加速发展，呈现以下突出特点： 微电子、计算机、软件和通信等信息技术加速 发展，电子信息产品制造业、软件业、通信业和信息服 务业在经济和社会发展中的地位和作用日益提高。 互联网络和电子商务呈爆炸性增长，极大地促 进了软件与信息服务业的迅速发展，信息产业已经成 为国民经济支柱产业和新的经济增长点，	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=XXJS200002001&dbname=CJFD9902
政府上网的实践与思考	2	信息化建设	2000	2000年02期	为适应信息时代发展的需要， １９９９年 ３月 ８日，国际互联网杭州市政府同站（ｈｔｔｐ：／／ｗｗｗ．ｈａｎｇｚｈｏｕ．ｇｏｖ．ｃｎ ）建成并开通。同年１０月，杭州市政府网站全面改版。改版后的网站辟有杭州概览、工业企业、商贸旅游等主要栏目，新建了旅游文化、外国友人在杭州、金秋旅游节等体现杭州作为著名风景旅游城市、历史文化名城特色的专栏，还设有市长信箱、热门话题、政情民意等栏目，在页面设计上也作了较大改进，增加了每日动态发布杭州政务公众信息的窗口，初步树立了开放的、全新的政府网站新形象。今年１月，杭州市政府网站获中国互联网“十大优秀网站”评选提名奖，并成为政府上网工程的“百家试点”单位之一。 政府	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=XXJS200002006&dbname=CJFD9902
“政府上网工程”中的系统规划实施与思考	2	信息化建设	2000	2000年02期	随着“电子政府”概念的提出和社会信息化服务的日趋深入，每一级政府行政管理部门都已将本区域的信息化建设提上了重要议事日程。与此同时，面对越来越激烈的市场竞争，每个企业都在寻求更好的工作方法与业务推广途径，以期使工作发挥出最好的效率，用最少的投资达到最高的目标，从而在竞争中立于不败之地。实现办公自动化是提高工作效率的必然手段，而通过Ｉｎｔｅｒｎｅｔ把政府（企业）的形象、服务项目等信息发送出去是更好的扩展社会服务（业务）的途径。区域性政府机关的信息化应用特点 目前，“政府上网工程”中的接入单位大多数为区域性的行政管理机关，绝大多数已建有自己的局域网络，用于满足本部门信息管理的需要。但由于其下属机构分	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=XXJS200002007&dbname=CJFD9902
数据通讯挺进政府办公系统	2	信息化建设	2000	2000年02期	数据通讯正以前所未有的速度向机关、家庭，向我们每一个人的生存领域挺进，不断改变着人们的学习、工作和生活方式。随着通讯技术和计算机技术的快速发展，政府机关的办公方式由手工操作逐渐向计算机管理过渡。网络化、信息化、无纸化、现代化已成为机关改进工作，提高质量，实现高效运作以及公开行政的标志。 　早在１９９３年，江西省政府办公厅正着手建设全省行政首脑机关办公决策服务系统，因省邮电管理局的积极推荐，我省在全国政府系统率先采用Ｘ．２５公共分组交换网，实现了省政府办公厅省级节点与地市和主要省直部门的计算机远程通讯，并在信息传输方面发挥了作用。紧接着江苏、山西等省相继采用分组 网。时隔六年后的今天，信息产业	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=XXJS200002009&dbname=CJFD9902
政府上网工程初战告捷──企业上网和家庭上网即将启动	2	信息化建设	2000	2000年02期	政府上网工程初战告捷，下一步重点将是在确保网络与信息安全的前提下，实现政府可公开信息资源的共享和动态更新，提供政府网上便民服务应用项目，通过政府上网工程推动企业和家庭上网。 １月２０日在北京召开的“政府上网工程百城市政府上网推进交流会”显示，由中国电信和国家经贸委经济信息中心联合４０多家部委（办、局）信息主管部门共同倡议发起的“政府上网工程”经过过去一年的发展，取得了良好的效果，政府上网工程的发起单位已经增加到６６家，中央机关和国务院有关部门在因特网上已经建立站点５２个，２０多个省的政府部门都将政府上网作为重点工程来抓，ｇｏｖ．ｃｎ下的政府站点域名已经从最初的１４５个发展到目前的２４００多个，	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=XXJS200002014&dbname=CJFD9902
众志成城建税务——记中国税务电子化服务器应用研讨会	2	中国计算机用户	2000	2000年03期	<正> 中国国家税务总局信息中心蔡金荣主任:税务电子化发展是从单机开始作起,从1994年开始发展的比较快。随着税收电子化的展开,就此国税局主要有两项工作,一是与财政部一起制定政策,第二是如何收税。把税收工作做好,实现税收电子化主要在三方面:是网络建设、征税管理和金税工程。金税工程是国家经济信息化的重点工程。目前全国有五省四市(山东、广东、辽宁、江苏、浙江、重庆、天津、北京、上海)启动了一期工程,其中服务器的采购全部采用招标的形式。一期工程完工之后即进入二期工程,将继续建立综合局域网、办公自动化网,最终建成一个多层次、高效率的税务系统计算机网络。 国税局从老的领导到新的局领导都很支持民族工业。但支持民族产业不能用行政手段,现在主要采取公开招标的办法。在公正、公平的基础上能够尽量支持民族工业,优先国家企业。1995年国税局就明确,低档的PC机就要用国产微机,并采取了较	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=YHJS200003011&dbname=CJFD9902
2000年中国信息化展望	2	信息化建设	2000	2000年03期	２０００年是我国信息化建设十分关键的一年。市场规模继续以超过２０％的增长率扩大，国民经济和社会各个领域的信息化应用向纵深发展，有更多的政府部门和企业走出设备、技术驱动的模式，进入应用、效益导向的良性循环。本文就政府信息化、产业信息化、社会公共领域信息化、家庭信息化、信息网络、主要信息装备产品、电子商务、管理和法制等８个方面对２０００年我国信息化的走势作一个综合的简要分析。 政府信息化的重点是 纵向业务网和横向专用网 继１９９９年政府内部建设和政府上网工程之后，政府信息化在２０００年将继续呈快速发展之势。发展的重点将是政府纵向业务网和横向专用网。 除网络系统、水利防灾网络系统等已经落实的项目在２	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=XXJS200003001&dbname=CJFD9902
天津市南开区政务公开系统	2	信息化建设	2000	2000年03期	天津市南开区政务公开系统是天津市信息港工程的重要建设项目之一，是社区服务工作的主要内容。该系统的主要任务是组织、制作、发布政务公开信息，为机关、社区企事业单位和居民群众服务，实现政务公开，为区级机关的办公现代化服务。该系统己于１９９８年１２月３０日开通。一、建设内容 天津市南开区政务公开系统的建设主要包括以下四个方面结构化布线、中心机房、网络设备、应用软件。 结构化有线。即在区级机关办公大楼内进行计算机网络的科学布线。南开区区级五大机关及部分主要的办事部门集中在前后两座办公楼，这是政务公开系统建设的独特优势条件。结构化布线是关系长远的一项基础性工作，考虑到发展、扩展和升级等因素，南开区这次结构	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=XXJS200003007&dbname=CJFD9902
政府网方案素描	2	信息化建设	2000	2000年03期	政府上网工程综述 我国政府上网工程的主旨是推动国家各部委和各地政府在中国公众多媒体网（１６３／１６９网）上建立正式站点，籍以改变政府的工作方式、提高工作效率；同时通过“电子政府”方式，及时发布权威信息并开展网上服务，接受来自社会各方面的反馈意见，提高政府工作的透明度。 政府上网工程的目标是在 １９９９年和 ２０００年建立站点的部委和各级政府要分别达到６０％和８０％以上，同时应用项目的实施进入良性循环。为此，１９９９年还被确定为“政府上网年”。 在我国，政府上网主要通过以下几个步骤实现：一、在网上建立政府站点，提供可公开的信息资源；二、将站点与政府的办公自动化网连通，与政府各部门的职能结合，使政	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=XXJS200003008&dbname=CJFD9902
2000年中国信息化展望	2	中国计算机用户	2000	2000年04期	2000年是新千年开始的头一年,我国“九五”规划的最后一年。在这一年里国家各领域、各行业的信息化建设得到深入的实施,新的格局正在形成,因此2000年不仅在时间上有着分水岭的作用,在我国信息化建设的发展史上也具有承上启下的意义。	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=YHJS200004021&dbname=CJFD9902
青岛市土地规划管理局业务跟踪监控系统——走好城市规划第一步	2	中国计算机用户	2000	2000年04期	<正> 青岛市土地规划管理局是青岛市政府的职能机构,负责全市土地和城市规划的统一管理工作,具体实施包括建设项目选址意见书、建设用地规划许可证、建设用地批准书、建设工程规划许可证、土地使用证的受理、审批、签发业务,业务非常繁杂。为此,该局与上海集高电子科技有限公司合作开发的业务审批监控系统,在国内率先实现了规划管理、土地管理业务审批流程自动化和业务处理信息化,为国内的规划管理和土地管理工作开创了一种新的管理模式。该系统于1998年荣获了山东省土地管理局科技进步二等奖。	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=YHJS200004027&dbname=CJFD9902
金融数据网上跑视频——国家金融数据网上视频会议首次成功应用	2	中国计算机用户	2000	2000年04期	<正> 项目需求 1.利用中国国家金融数据网(CNFN),形成在华北范围内天津、内蒙古、河北、山西三省一市内的会议电视联网,网络拓扑结构要满足会议电视及与其同时存在的数据、语音等多种业务流量及管理方式的需求; 2.要保证端至端所经节点最少,时延最低; 3.要合理地组织和利用网络带宽,提高网络效率; 4.要保证网络安全,降低网络传输通信成本; 5.要保证网络业务的性能、指标; 6.应以H.320协议或H.323协议	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=YHJS200004038&dbname=CJFD9902
郑州市机关信息网政府主页建设	2	信息化建设	2000	2000年04期	郑州市机关信息网从１９９９年７月１日正式投入使用。使用伊始，我们就把机关信息网政府内部网站ＷＥＢ主页的建设放在很重要的位置，经过大半年的努力，政府网站的访问量从日平均４０余人次上升到目前８００余人次，用户已经养成了每天开机浏览政府主页的习惯。我们的主要体会是： 一、把好主页的 定位，力求栏目丰富多彩 机关信息网建成后，推广应用主要集中在二个方面：公文处理、政府网站ＷＥＢ主页。公文处理系统的推广应用需要单位主要领导亲自倡导，权威机关严格要求；而政府同站主页主要靠自己本身能提供的信息吸引用户，凝聚人气。可以说，信息是否贴近领导和机关工作人员的工作、学习、生活，信息是否丰富，更新是否及时，查询是否方	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=XXJS200004006&dbname=CJFD9902
电子会议室在政务活动中的应用	2	信息化建设	2000	2000年04期	电子会议室是指以现代信息技术支撑，具有综合服务功能的办公场所。近年来，出现在政府机关的电子会议室，以其独特的服务功能，在政务活动中发挥了积极的作用。 山东省人民政府电子会议室和省政府应急指挥中心，是１９９９年根据省长办公会议确定的意见，首先作为省政府防汛指挥中心建设的。目的是运用现代信息技术，增强省政府对全省防汛工作的情况调度和应急指挥能力。为发挥其综合效益，借鉴兄弟省市的成功做法，在防汛指挥中心的基础上，又接入电视电话会议系统，完善相关功能，建成了设施比较先进，功能比较齐全，集情况调度、应急指挥、电视电话会议于一体的电子会议室。 该电子会议室主要由中央控制系统、大屏幕显示系统、麦克智能会议控	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=XXJS200004007&dbname=CJFD9902
建立政府网站需规范和解决的几个问题	2	信息化建设	2000	2000年04期	随着全国信息化建设步伐进一步加快和发展，各级政府机关在计算机方面的应用范围和应用层次都有了质的飞跃。在政府上网进程中，各级政府陆续在因特网上建立了各自的网站，据ＣＮＮＩＣ（中国互联网络信息中心）的统计表明，截至１９９９年１２月３１日，全国在ｇｏｖ．ｃｎ下注册的政府域名已达２４７９个。各级政府的网站虽然已经联入互联网，但从总体上看，大部分还处于起步阶段，无论是信息内容的组织更新，还是网页的制作及便民服务等方面，都有待于进一步提高和完善。笔者在几年的具体实践中，感到建立和搞好政府网站，必须规范和解决好以下几个问题。 一、政府网站，域名必须规范 域名对于一个网站的重要性，不亚于人的名字。我国各级政府	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=XXJS200004009&dbname=CJFD9902
政府机构改革要重视加强办公自动化工作	2	信息化建设	2000	2000年05期	当前，机构改革正在自上而下地全面展开。我认为：在政府机构改革中，按照建立社会主义市场经济体制的要求，进一步转变政府职能，调整、精简和优化组织及人员结构，理顺工作关系，这对于提高工作效率与水平，促进经济发展和社会进步，无疑有着非常现实和深远的重要意义。但是，在政府机构改革中，非但不能削弱办公自动化工作，反而要高度重视和切实加强办公自动化工作，这对于在精简机构和人员编制的新形势下，进一步做好政府机关的各项工作，确保机构改革成果的不断巩固和深化，也无疑有着非常现实和深远的意义。 一、办公自动化是一项新兴的事业，在机构改革中重视加强办公自动化工作，是政府机关现代化建设的客观要求和必由之路 办公自动化作	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=XXJS200005001&dbname=CJFD9902
省级行政首脑机关电子邮件系统建设探索	2	信息化建设	2000	2000年05期	自去年五月，国务院办公厅在北京召开全国行政首脑机关电子邮件系统建设工作会议之后，山东省人民政府办公厅紧密结合实际情况，认真进行了传达贯彻。特别是对本省行政首脑机关电子邮件系统建设具体实施方案进行了反复的调研论证，并在去年１１月召开的全省政府系统办公自动化工作会议上进行了讨论修改，最后，以省政府办公厅的正式文件印发全省各地、各部门贯彻执行。现将我们对省级行政首脑机关电子邮件系统建设的探索提出来，以期收到抛砖引玉之效。 一、省级邮件系统定义及其特点 按照国务院办公厅的总体规划和部署，所谓邮系件统是针对全国行政首脑机关远程站系统而言的。出于在全国邮件系统中省级节点已不是一个远程站，而是省级电子分邮局	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=XXJS200005003&dbname=CJFD9902
建设金宏工程 发展电子政务 推进办公自动化 管理信息化 决策科学化	2	信息化建设	2000	2000年05期	近几年来，青岛市委、市政府以实现办公自动化、管理信息化、决策科学化为目标，大力推进全市宏观决策和办公信息服务网络系统（简称“金宏工程”）建设，取得了显著成效。 一、建成了覆盖全市 三级机关的专用城域网 １９９７年４月，根据市委常委会议的决定，市委办公厅和市政府办公厅联合下发了《关于建设我市信息化“金宏工程”的通知》，明确提出了全市机关宏观决策和办公信息服务网络系统建设的目标、任务和指导原则。根据这些要求，市委、市政府计算机中心开始组织进行网络系统的招标工作。先后收到１０个公司的设计方案。为作出科学合理的选择，我们聘请国内著名专家对设计方案进行了评审，之后又经过５轮方案细化和商务谈判，最后确定采	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=XXJS200005004&dbname=CJFD9902
困难、挑战、机遇与发展	2	信息化建设	2000	2000年05期	政府系统办公自动化建设，是一项任重道远的 事业。刘红同志在此工作岗位上辛勤耕耘，努力开拓，十年有余，其中的酸甜苦辣，相信在这条战线 上工作的同仁都有亲身的体验。刘红同志长期在政 府系统办公自动化建设中所遇到的困难和问题，她 的努力和奋斗，具有一定的共性。为此，我们将她 在工作中的一些体会和感想子以刊发，以求大家研 究探讨，共同促进我们政府系统办公自动化建设事 业。 全国政府系统的机关办公自动化建设至今已走过了１６个春秋。国办原电子邮件系统已经服役期满，完成了历史使命。新一代电子邮件系统将披挂上阵，４月份正式投入运行。政府系统的计算机网络系统得到了广泛的应用，为各级领导进行科学决策提供了高效、优	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=XXJS200005005&dbname=CJFD9902
